Rank,Country,CO2_Emissions,Change,Population,Per_Capita,Share_Of_World,,,,,,,,
132,Armenia,"4,597,845",0.0306,"2,936,143",1.57,0.0001,,,,,,,,
133,Laos,"4,531,276",0.0792,"6,845,846",0.66,0.0001,,,,,,,,
134,Bahamas,"4,404,247",0.0151,"377,930",11.65,0.0001,,,,,,,,
135,Zambia,"4,230,584",0.0367,"16,363,458",0.26,0.0001,,,,,,,,
136,South Sudan,"4,038,496",0.0418,"10,832,518",0.37,0.0001,,,,,,,,
137,Iceland,"3,923,884",0.0162,"332,206",11.81,0.0001,,,,,,,,
138,Namibia,"3,901,830",0.0442,"2,358,044",1.65,0.0001,,,,,,,,
139,Guyana,"3,253,057",0.0161,"771,368",4.22,0.0001,,,,,,,,
140,Mauritius,"3,192,307",0,"1,261,865",2.53,0.0001,,,,,,,,
141,Macao,"3,106,518",0.0719,"612,836",5.07,0.0001,,,,,,,,
142,Haiti,"3,086,897",0.0171,"10,839,970",0.28,0.0001,,,,,,,,
143,Madagascar,"3,026,047",0.0285,"24,894,370",0.12,0.0001,,,,,,,,
144,Martinique,"2,715,477",0.0172,"376,791",7.21,0.0001,,,,,,,,
145,Mauritania,"2,564,345",0.0332,"4,163,533",0.62,0.0001,,,,,,,,
146,Guadeloupe,"2,478,038",0.0184,"399,763",6.2,0.0001,,,,,,,,
147,Burkina Faso,"2,352,070",0.0314,"18,646,357",0.13,0.0001,,,,,,,,
148,New Caledonia,"2,338,717",0.0722,"274,191",8.53,0.0001,,,,,,,,
149,Togo,"2,321,546",0.0547,"7,509,951",0.31,0.0001,,,,,,,,
150,Malta,"2,257,870",0.0348,"436,097",5.18,0.0001,,,,,,,,
151,Equatorial Guinea,"2,156,371",0,"1,215,180",1.77,0.0001,,,,,,,,
152,Suriname,"2,152,933",0.0032,"564,888",3.81,0.0001,,,,,,,,
153,Niger,"2,088,475",0.0015,"20,788,798",0.1,0.0001,,,,,,,,
154,Guinea,"2,071,798",0.032,"11,738,429",0.18,0.0001,,,,,,,,
155,Malawi,"1,815,598",0.0326,"17,205,261",0.11,0.0001,,,,,,,,
156,Fiji,"1,703,193",0.0728,"872,399",1.95,0,,,,,,,,
157,Bhutan,"1,682,100",0.0614,"736,708",2.28,0,,,,,,,,
158,Chad,"1,670,941",0.0214,"14,561,660",0.11,0,,,,,,,,
159,Mali,"1,606,421",0.0257,"17,965,443",0.09,0,,,,,,,,
160,Barbados,"1,541,447",0.0188,"285,796",5.39,0,,,,,,,,
161,Djibouti,"1,508,851",0.0297,"929,112",1.62,0,,,,,,,,
162,French Guiana,"1,473,719",0.0173,"267,821",5.5,0,,,,,,,,
163,Rwanda,"1,403,087",0.0288,"11,668,827",0.12,0,,,,,,,,
164,Sierra Leone,"1,272,332",0.0343,"7,328,834",0.17,0,,,,,,,,
165,Somalia,"1,268,442",0.0257,"14,185,636",0.09,0,,,,,,,,
166,Maldives,"1,233,015",0.0719,"475,512",2.59,0,,,,,,,,
167,Réunion,"1,132,331",0.0355,"869,743",1.3,0,,,,,,,,
168,Belize,"1,114,105",0.0151,"368,400",3.02,0,,,,,,,,
169,Burundi,"1,093,618",0.0281,"10,487,995",0.1,0,,,,,,,,
170,French Polynesia,"1,003,249",0.0718,"274,575",3.65,0,,,,,,,,
171,Liberia,"846,658",0.0349,"4,586,787",0.18,0,,,,,,,,
172,Puerto Rico,"712,758",0.0171,"3,283,125",0.22,0,,,,,,,,
173,Eritrea,"684,140",0.0479,"3,376,557",0.2,0,,,,,,,,
174,Eswatini,"657,572",0.0261,"1,113,997",0.59,0,,,,,,,,
175,Bermuda,"639,352",0.0151,"63,362",10.09,0,,,,,,,,
176,Saint Lucia,"608,182",0.0151,"180,024",3.38,0,,,,,,,,
177,Gibraltar,"572,708",0.0353,"33,737",16.98,0,,,,,,,,
178,Grenada,"554,848",0.0151,"110,261",5.03,0,,,,,,,,
179,Central African Republic,"543,229",0.0257,"4,537,686",0.12,0,,,,,,,,
180,Seychelles,"519,693",0.0262,"95,710",5.43,0,,,,,,,,
181,Timor-Leste,"495,687",0.0463,"1,219,288",0.41,0,,,,,,,,
182,Antigua and Barbuda,"438,763",0.0151,"94,527",4.64,0,,,,,,,,
183,Cayman Islands,"406,057",0.0152,"62,569",6.49,0,,,,,,,,
184,St. Vincent & Grenadines,"362,414",0.0151,"109,459",3.31,0,,,,,,,,
185,Solomon Islands,"341,748",0.0718,"619,438",0.55,0,,,,,,,,
186,Guinea-Bissau,"318,706",0.0259,"1,782,438",0.18,0,,,,,,,,
187,Lesotho,"318,438",0.0258,"2,075,030",0.15,0,,,,,,,,
188,Aruba,"286,871",0.0151,"104,872",2.74,0,,,,,,,,
189,Gambia,"254,127",0.0259,"2,149,136",0.12,0,,,,,,,,
190,Tonga,"251,375",0.0719,"101,133",2.49,0,,,,,,,,
191,Western Sahara,"207,592",0.0261,"538,749",0.39,0,,,,,,,,
192,Saint Kitts & Nevis,"203,036",0.0151,"51,625",3.93,0,,,,,,,,
193,Dominica,"185,767",0.0151,"71,307",2.61,0,,,,,,,,
194,Samoa,"169,939",0.0718,"194,535",0.87,0,,,,,,,,
195,Vanuatu,"137,706",0.0718,"278,330",0.49,0,,,,,,,,
196,Comoros,"108,422",0.0258,"795,592",0.14,0,,,,,,,,
197,British Virgin Islands,"99,762",0.0151,"29,355",3.4,0,,,,,,,,
198,Cabo Verde,"99,687",0.0259,"531,146",0.19,0,,,,,,,,
199,Turks and Caicos,"65,451",0.0152,"36,559",1.79,0,,,,,,,,
200,Sao Tome & Principe,"56,185",0.026,"203,227",0.28,0,,,,,,,,
201,Kiribati,"52,818",0.0718,"112,524",0.47,0,,,,,,,,
202,Falkland Islands,"48,568",0.0151,"2,928",16.59,0,,,,,,,,
203,Palau,"41,732",0.0719,"17,725",2.35,0,,,,,,,,
204,Cook Islands,"37,354",0.0719,"17,524",2.13,0,,,,,,,,
205,Anguilla,"30,262",0.0152,"14,429",2.1,0,,,,,,,,
206,Saint Helena,"13,128",0.0262,"5,956",2.2,0,,,,,,,,
207,Saint Pierre & Miquelon,"8,842",0.0151,"5,934",1.49,0,,,,,,,,
208,Faeroe Islands,"1,953",0.006,"48,173",0.04,0,,,,,,,,
209,Greenland,"1,530",0.0086,"56,412",0.03,0,,,,,,,,
Carbon Dioxide (CO2) Emissions by Country - Worldometer,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,
Emission Database for Global Atmospheric Research (EDGAR),,,,,,,,,,,,,,
CO2 Emissions from Fuel Combustion - IEA,,,,,,,,,,,,,,
World Population Prospects: The 2019 Revision - United Nations Population Division,,,,,,,,,,,,,,
